time,temperature_2m_mean (°C)
2022-06-19,22.7
2022-06-20,18.0
2022-06-21,20.0
2022-06-22,20.5
2022-06-23,21.5
2022-06-24,20.3
2022-06-25,17.0
2022-06-26,16.7
2022-06-27,17.3
2022-06-28,18.6
2022-06-29,19.2
2022-06-30,15.4
2022-07-01,15.6
2022-07-02,19.3
2022-07-03,18.4
2022-07-04,18.2
2022-07-05,18.5
2022-07-06,19.1
2022-07-07,18.8
2022-07-08,18.6
2022-07-09,21.8
2022-07-10,20.2
2022-07-11,23.1
2022-07-12,24.9
2022-07-13,26.9
2022-07-14,24.7
2022-07-15,21.3
2022-07-16,22.3
2022-07-17,24.2
2022-07-18,27.9
2022-07-19,30.7
2022-07-20,24.0
2022-07-21,22.2
2022-07-22,20.8
2022-07-23,22.1
2022-07-24,24.4
2022-07-25,23.1
2022-07-26,19.5
2022-07-27,20.0
2022-07-28,20.5
2022-07-29,21.6
2022-07-30,23.3
2022-07-31,23.0
2022-08-01,22.1
2022-08-02,23.7
2022-08-03,26.8
2022-08-04,24.2
2022-08-05,20.5
2022-08-06,19.2
2022-08-07,20.6
2022-08-08,22.0
2022-08-09,23.7
2022-08-10,26.0
2022-08-11,26.3
2022-08-12,26.7
2022-08-13,26.7
2022-08-14,24.6
2022-08-15,22.7
2022-08-16,22.5
2022-08-17,21.4
2022-08-18,20.9
2022-08-19,19.9
2022-08-20,18.7
2022-08-21,20.5
2022-08-22,20.7
2022-08-23,23.2
2022-08-24,25.7
2022-08-25,23.4
2022-08-26,21.2
2022-08-27,20.3
2022-08-28,20.2
2022-08-29,22.4
2022-08-30,21.6
2022-08-31,21.8
2022-09-01,22.2
2022-09-02,20.1
2022-09-03,19.8
2022-09-04,21.1
2022-09-05,22.9
2022-09-06,21.4
2022-09-07,19.1
2022-09-08,17.8
2022-09-09,17.3
2022-09-10,17.4
2022-09-11,17.0
2022-09-12,20.6
2022-09-13,22.3
2022-09-14,21.9
2022-09-15,16.7
2022-09-16,14.0
2022-09-17,12.3
2022-09-18,12.5
2022-09-19,12.8
2022-09-20,12.2
2022-09-21,13.6
2022-09-22,13.6
2022-09-23,14.9
2022-09-24,14.1
2022-09-25,14.3
2022-09-26,12.4
2022-09-27,12.3
2022-09-28,12.7
2022-09-29,11.0
2022-09-30,11.8
2022-10-01,16.0
2022-10-02,16.1
2022-10-03,12.2
2022-10-04,13.1
2022-10-05,17.1
2022-10-06,14.0
2022-10-07,12.9
2022-10-08,12.7
2022-10-09,11.8
2022-10-10,14.3
2022-10-11,12.8
2022-10-12,13.0
2022-10-13,13.9
2022-10-14,14.8
2022-10-15,16.7
2022-10-16,16.9
2022-10-17,17.5
2022-10-18,17.4
2022-10-19,17.3
2022-10-20,18.4
2022-10-21,17.4
2022-10-22,16.3
2022-10-23,18.2
2022-10-24,16.7
2022-10-25,15.4
2022-10-26,17.4
2022-10-27,18.3
2022-10-28,19.0
2022-10-29,19.2
2022-10-30,15.2
2022-10-31,14.6
2022-11-01,14.2
2022-11-02,12.8
2022-11-03,12.6
2022-11-04,10.0
2022-11-05,8.9
2022-11-06,10.9
2022-11-07,13.3
2022-11-08,14.2
2022-11-09,12.8
2022-11-10,9.8
2022-11-11,10.1
2022-11-12,10.7
2022-11-13,9.6
2022-11-14,9.9
2022-11-15,11.0
2022-11-16,11.0
2022-11-17,11.7
2022-11-18,9.0
2022-11-19,7.3
2022-11-20,6.6
2022-11-21,8.0
2022-11-22,7.6
2022-11-23,8.0
2022-11-24,9.8
2022-11-25,9.2
2022-11-26,5.6
2022-11-27,8.1
2022-11-28,8.6
2022-11-29,6.1
2022-11-30,6.8
2022-12-01,6.1
2022-12-02,4.7
2022-12-03,3.2
2022-12-04,3.1
2022-12-05,2.5
2022-12-06,3.4
2022-12-07,2.7
2022-12-08,2.7
2022-12-09,1.4
2022-12-10,1.0
2022-12-11,-1.1
2022-12-12,-2.3
2022-12-13,-1.9
2022-12-14,-0.9
2022-12-15,-0.8
2022-12-16,-1.0
2022-12-17,-3.5
2022-12-18,-0.8
2022-12-19,8.0
2022-12-20,10.6
2022-12-21,10.0
2022-12-22,12.1
2022-12-23,12.5
2022-12-24,10.7
2022-12-25,11.3
2022-12-26,9.5
2022-12-27,5.5
2022-12-28,10.0
2022-12-29,9.8
2022-12-30,9.6
2022-12-31,15.1
